"ABCDBAGHCHFAC", 3 ['D', 'G', 'F']
"ABBCDAB", 3 ['C', 'D']
"EDEAABBCDC", 3, []
"EABCDEAB", 3, [ 'C' 'D' ]
"ABCDEBCDEA", 2, []
"BCADBECDEA", 4, []
"BACDBCEDEA", 2, []
"ABCDBCEADE", 2, []
"BCADEBACDE", 2, []
"ABCDBEACDE", 2, []
"BCDABCDEAE", 2, []
"BCADEBCADE", 4, []
"ABCDBEAA", 4, [ 'C' 'D' 'E' ]
"ABCBADAE", 2, [ 'C' 'D' ]
"BABCDAEA", 3, [ 'C' 'D' 'E' ]
"ABBCADAE", 4, [ 'C' 'D' 'E' ]
"ABBCDAEA", 4, [ 'C' 'D' 'E' ]
"BABCADEA", 2, [ 'C' 'D' ]
"XBXBYYY", 2, []
"XYBBXYBB", 2, []
"BCDCEADBEA", 3, []
"CBCDDEEAAB", 2, []
"CBDCDEEAAB", 2, []
"CDBECDEAAB", 3, []
"CDBCDEABEA", 3, []
"CDBCEDEAAB", 4, []
"BCDCEADEBA", 3, []
"CDEBACDEAB", 2, []
"BCCDEDEABA", 4, []
"ABDACDBC", 3, []
"EADBCDEABC", 2, []
"EABDCEDABC", 2, []
"EABCDEABCD", 2, []
"DEEABACBCD", 4, []
"EDAEBABCDC", 4, []
"EDEABCABCD", 3, []
"DEAEBACBCD", 2, []
"EDEABABCDC", 2, []
"ABCBDCEDAE", 2, []
"BCABDCDEEA", 3, []
"BACBCDEDEA", 2, []
"ABCDEBCADE", 3, []
"ABCBCDEDAE", 4, []
"ABBCCDDEEA", 3, []
"ABBCDCEADE", 3, []
"ABBCDAAE", 4, [ 'C' 'D' 'E' ]
"BABCDEAA", 3, [ 'C' 'D' 'E' ]
"ABABCDAE", 4, [ 'C' 'D' 'E' ]
"BABCDAAE", 4, [ 'C' 'D' 'E' ]
"BAAABCDE", 2, [ 'C' 'D' ]
"ABBCDEAA", 4, [ 'C' 'D' 'E' ]
"INCEST", 4, [ 'I' 'N' 'C' 'E' ]
"XYZ", 2, [ 'X' 'Y' ]
"SILENT", 4, [ 'S' 'I' 'L' 'E' ]
"SILENT", 3, [ 'S' 'I' 'L' ]
"INCEST", 2, [ 'I' 'N' ]
"CDEAB", 4, [ 'C' 'D' 'E' 'A' ]
"DEABC", 3, [ 'D' 'E' 'A' ]
"BCDEA", 3, [ 'B' 'C' 'D' ]
"ABCDE", 3, [ 'A' 'B' 'C' ]
"ABCDE", 2, [ 'A' 'B' ]
"CDEAB", 3, [ 'C' 'D' 'E' ]
"CDAB", 2, [ 'C' 'D' ]
"ABCD", 2, [ 'A' 'B' ]
"EABCD", 2, [ 'E' 'A' ]
"BCDEA", 2, [ 'B' 'C' ]
"ABCDE", 4, [ 'A' 'B' 'C' 'D' ]
"ACAB", 3, [ 'C' 'B' ]
"XBXBBYB", 4, [ 'Y' ]
"BCDCBAABCDCBAA", 9, []
"ABDCBCDBDCBCABDCBCDBDCBC", 24, []
"BABCDCBABCDC", 9, []
"XYBAXB", 6, [ 'Y' 'A' ]
"AABCDCBAABCDCB", 14, []
"CDEABCDEAB", 9, []
"BCDCBAABCDCBAA", 5, []
"TOMMARVOLORIDDLE", 11, [ 'T' 'A' 'V' 'I' 'E' ]
"DEABCDEABC", 9, []
"XBXAXB", 3, [ 'A' ]
"ABDCBCDBDCBBC", 13, [ 'A' ]
"BANANASANASBA", 13, []
"ABDCBCDBDCBC", 6, [ 'A' ]
"CBABCD", 4, [ 'A' 'D' ]
"DCABCDCABC", 5, []
"CBABCBABC", 4, []
"ACBAA", 3, [ 'C' 'B' ]
"ABCDA", 5, [ 'B' 'C' 'D' ]
"ABRACAABRA", 4, [ 'C' ]
"CCBAB", 3, [ 'A' ]
"CABCAB", 4, []
"CABABABCCCCABABABABCCCC", 11, []
"ABABABABCCCCABABR", 8, [ 'R' ]
"CABABABDCDCABABABABDCDC", 11, []
"CDCABABR", 5, [ 'D' 'R' ]
"CBDCDCABABDCDC", 4, []
"CABABABABABC", 10, []
"CABABABABABABABC", 16, []
"CABABABABC", 5, []
"CABABC", 5, []
"CABC", 4, [ 'A' 'B' ]
"CAAB", 3, [ 'C' 'B' ]
"CDCBAABCDCBAAB", 4, []
"CBCDBDCBCABD", 12, [ 'A' ]
"ASBANANASBANAN", 11, []
"ABCDCABCDC", 6, []
"AYABBYA", 7, []
"BAAC", 4, [ 'B' 'C' ]
"ABRACADABRA", 11, [ 'C' 'D' ]
"ABRACADABRABRACADABRA", 7, []
"ABCDCBABCDCBA", 12, []
"AAYABBY", 7, []
"CDEBCDEAAB", 7, []
"BCDCDEAEBA", 6, []
"CDBCDEEABA", 5, []
"CDEBCADBEA", 5, []
"BCDECDEAAB", 10, []
"CBCDDEAEBA", 8, []
"CDBCEDEABA", 7, []
"BCDCEADEAB", 8, []
"BCCDEADEAB", 5, []
"CBCDEDABEA", 8, []
"CDEBACDEAB", 7, []
"CBDECABDEA", 9, []
"BCCDEDAEBA", 5, []
"BCDECDABEA", 6, []
"CBDCEADEBA", 5, []
"CBDECDAEBA", 7, []
"BCCDDEAEBA", 7, []
"BCDEACDEBA", 7, []
"BCDCDEEABA", 6, []
"CDBCADAB", 5, []
"BCCDADBA", 5, []
"CBCDADAB", 4, []
"DABABCCD", 6, []
"ADBABCDC", 4, []
"ABDABCDC", 4, []
"EADEBCABCD", 9, []
"EDABECDABC", 9, []
"EDAEBCADBC", 9, []
"EADEABCBCD", 5, []
"EADBEACBDC", 6, []
"DEEABACBCD", 5, []
"EABDCEADBC", 9, []
"EDABECADBC", 10, []
"EDAEBACDBC", 5, []
"EADBECDABC", 10, []
"DEABEACDBC", 5, []
"EADBCEABCD", 6, []
"EADBCEABDC", 9, []
"EABCDEABDC", 10, []
"EDAEBCABDC", 9, []
"DEEABABCCD", 10, []
"EABCDEADBC", 9, []
"EADBEACDBC", 8, []
"DEAEABBCCD", 10, []
"DEABCEABCD", 9, []
"DEAEBCABDC", 9, []
"DEAEBCABCD", 6, []
"DEEAABCBCD", 8, []
"EDEABCDABC", 7, []
"BACBCDEDAE", 5, []
"BABCDCDEEA", 8, []
"ABBCDCDEAE", 7, []
"BCDAEABCDE", 6, []
"BABCDCEDAE", 9, []
"ABCDBECADE", 9, []
"BABCDEACDE", 9, []
"BCABDECDEA", 5, []
"BABCDECDEA", 5, []
"ABCDBEACDE", 6, []
"BABCDCEADE", 10, []
"ABCBCDDEEA", 8, []
"ABCBDCEADE", 6, []
"BACBDCEDEA", 10, []
"BACDEBACDE", 9, []
"ABBCDECADE", 10, []
"BACBDECDAE", 9, []
"ABBCDECDEA", 6, []
"BCDEABCADE", 10, []
"BACBDECADE", 6, []
"ABCDBCDEAE", 7, []
"BAABACDE", 5, [ 'C' 'D' 'E' ]
"ABBCDAEA", 8, [ 'C' 'D' 'E' ]
"ABBYAY", 5, []
"ABBAYY", 6, []
"ABBYYA", 6, []
"ABYBYABYA", 4, []
"YAABBYY", 4, []
"ABYYBAYBA", 7, []
"AABYYB", 4, []
"AYAYBB", 3, []
"AYABYB", 3, []
"YBAYABBAY", 9, []
"ABBYBBA", 5, [ 'Y' ]
"AYBAYB", 3, []
"XYBYAXBYABCA", 5, [ 'C' ]
"ABRACADABRAABRACADABRA", 22, []
"WILLIAMSHAKESPEARE", 16, [ 'W' 'M' 'H' 'K' 'P' 'R' ]
"CBAABCD", 5, [ 'D' ]
"BCCBAABCCBAA", 11, []
"CCBAABCCBAAB", 4, []
"XYBYAXBYABCA", 6, [ 'C' ]
"CBAABC", 4, []
"CBAABCDCBAABCD", 6, []
"BCDCBAA", 5, [ 'D' ]
"BAABCDC", 5, [ 'D' ]
"BCCBAA", 6, []
"EABCDEABCD", 5, []
"CDCBAB", 6, [ 'D' 'A' ]
"BANANASBANANAS", 9, []
"BCBABCBA", 5, []
"BCDABCDA", 7, []
"ABCA", 3, [ 'B' 'C' ]
"CBABCDCBABCD", 6, []
"BANANASBANANAS", 4, []
"DCABC", 4, [ 'D' 'A' 'B' ]
"CBABC", 4, [ 'A' ]
"ABDCBCDBDCBBCABDCBCDBDCBBC", 16, []
"CDCBAABCDCBAAB", 6, []
"DCBAABCDCBAABC", 9, []
"CBAABCDCBAABCD", 12, []
"BAABCDCBAABCDC", 14, []
"BAABCCBAABCC", 11, []
"ABCDEABCDE", 7, []
"CDCBAAB", 4, [ 'D' ]
"AABCDCB", 6, [ 'D' ]
"ABCCBA", 5, []
"CBAABCD", 7, [ 'D' ]
"BABCDC", 6, [ 'A' 'D' ]
"ABRACADABRA", 10, [ 'C' 'D' ]
"ABCDCBA", 7, [ 'D' ]
"DCBABCDCBABC", 12, []
"BCBA", 4, [ 'C' 'A' ]
"XYBYAXBY", 6, [ 'A' ]
"ABCDCBABCDCB", 12, []
"ABCBABCB", 3, []
"DCABCDCABC", 6, []
"BANANAS", 5, [ 'B' 'S' ]
"CBABCDCBABCD", 10, []
"BCDCBA", 6, [ 'D' 'A' ]
"CBABCD", 6, [ 'A' 'D' ]
"ABCACB", 6, []
"ABACBC", 3, []
"BCCDEABDEA", 8, []
"BCDEACDBEA", 10, []
"CBDCDEEABA", 10, []
"BCCDDEAEAB", 10, []
"CBDCDEAEAB", 8, []
"CBCDEDABEA", 5, []
"BCCDEADEAB", 6, []
"CDEBACDBE", 9, [ 'A' ]
"CBCDADBA", 6, []
"BCDACBDA", 6, []
"CDABCDAB", 7, []
"CBDCDAAB", 8, []
"ADABCBCD", 8, []
"ADABBCDC", 8, []
"ABCDDABC", 7, []
"EADBEACDBC", 9, []
"DEAEBABCDC", 10, []
"EDEABABCCD", 10, []
"EDABECADBC", 5, []
"EADBEABCDC", 7, []
"EADEBCDABC", 9, []
"EDABEACBDC", 8, []
"DEEABABCDC", 8, []
"EABCDEADBC", 6, []
"DEABCDEABC", 6, []
"DEEABABCCD", 5, []
"BCADBCEDAE", 7, []
"BACBCDEDEA", 9, []
"ABBCCDEADE", 10, []
"BCABCDEADE", 10, []
"ABBCDCEDEA", 10, []
"ABCBDCEDAE", 8, []
"BCDABECADE", 10, []
"ABCBDCDEEA", 7, []
"BCDABEACDE", 5, []
"BABCCDEDAE", 8, []
"BCABCDEDEA", 7, []
"BCABDECADE", 8, []
"BCADBCDEEA", 10, []
"ABCBDAEA", 8, [ 'C' 'D' 'E' ]
"ABCBDAAE", 7, [ 'C' 'D' 'E' ]
"BABACDEA", 6, [ 'C' 'D' 'E' ]
"BABCDEAA", 6, [ 'C' 'D' 'E' ]
"BABACADE", 7, [ 'C' 'D' 'E' ]
"ABBCADEA", 6, [ 'C' 'D' 'E' ]
"YXYBYXB", 3, []
"XYYYBXB", 4, []
"YYXYBXB", 4, []
"YXYYBXB", 3, []
"XBYYXBY", 6, []
"XYBXBBYB", 7, []
"BCCDEDABEA", 8, []
"CBDECDAEAB", 10, []
"BCCDDEEABA", 8, []
"CDEBCDAEBA", 7, []
"CDBECADEAB", 7, []
"CDEABCDEBA", 10, []
"CBDECDABEA", 10, []
"CDEBCADEBA", 10, []
"CBCDDEEABA", 5, []
"CDBECDEABA", 8, []
"BCCDDAAB", 8, []
"BCDCADBA", 6, []
"CBCDADBA", 5, []
"CBDABCDA", 6, []
"CDABCDBA", 4, []
"DABABCCD", 5, []
"DABACBDC", 8, []
"DABABCDC", 7, []
"ADBCABDC", 6, []
"ABCDABCD", 4, []
"ADABCBDC", 4, []
"DEAEBCADBC", 7, []
"EDAEBABCCD", 10, []
"EDAEBACBCD", 5, []
"DEEABCABCD", 9, []
"EABDECDABC", 8, []
"EDABCEABDC", 5, []
"EDAEBABCDC", 8, []
"DEEABABCDC", 6, []
"EDAEABBCDC", 7, []
"EADBCEABDC", 10, []
"EDEABCADBC", 8, []
"EABCDEABDC", 5, []
"DEABCEADBC", 9, []
"DEEABCABDC", 8, []
"EADEABCBDC", 8, []
"EADEBABCDC", 7, []
"EABDCEAB", 8, [ 'D' 'C' ]
"BCADBCEDAE", 8, []
"BCDABCEDAE", 9, []
"BACDBECADE", 5, []
"BCDABCEDEA", 7, []
"ABBCDCEADE", 10, []
"ABCDBCEDEA", 7, []
"BABCDECDEA", 6, []
"BCABCDEADE", 8, []
"ABCDEBAA", 6, [ 'C' 'D' 'E' ]
"BABCAADE", 6, [ 'C' 'D' 'E' ]
"BABCADAE", 6, [ 'C' 'D' 'E' ]
"ABBAACDE", 5, [ 'C' 'D' 'E' ]
"BAABACDE", 8, [ 'C' 'D' 'E' ]
"ABCBADEA", 6, [ 'C' 'D' 'E' ]
"ABBCDAEA", 5, [ 'C' 'D' 'E' ]
"ABABACDE", 8, [ 'C' 'D' 'E' ]
"BABCDAAE", 5, [ 'C' 'D' 'E' ]
"BABCDAEA", 8, [ 'C' 'D' 'E' ]
"YXBYXYB", 6, []
"XBXYYYB", 4, []
"XBXYBBYB", 4, []
"YBXBYBXB", 3, []
"XYBBYBXB", 8, []
"YBYXBXBB", 3, []
"ACABCB", 5, []
"CBDCEDAEBA", 7, []
"CDBEABCDEA", 8, []
"BCDECABDEA", 8, []
"CDBECADEAB", 5, []
"CDBCDEABEA", 10, []
"CBCDDEEAAB", 5, []
"CDBECDAEAB", 5, []
"CDBEACBDEA", 8, []
"CDEBCABDEA", 10, []
"BCCDEADEBA", 7, []
"CDEBACBDEA", 10, []
"BCDEACBDEA", 9, []
"CBDCDEABEA", 6, []
"CDEBCDABEA", 6, []
"CDEBACDB", 5, [ 'E' 'A' ]
"CDBACDAB", 5, []
"CBDABCDA", 7, []
"BCCDADAB", 4, []
"CDBCDABA", 6, []
"BCDABCDA", 8, []
"CDBCDAAB", 4, []
"ADBACBDC", 8, []
"ABDACBCD", 5, []
"DABACDBC", 7, []
"ADBACDBC", 5, []
"DABCABDC", 5, []
"EABDCEABCD", 6, []
"EABDCEADBC", 6, []
"DEAEBCDABC", 9, []
"EDABCEDABC", 8, []
"EADBEABCCD", 6, []
"EABDCDEABC", 9, []
"EDABEACBCD", 6, []
"DEAEABCBCD", 8, []
"EDEAABCDBC", 6, []
"EABCDEAB", 5, [ 'C' 'D' ]
"ABBCDEACDE", 8, []
"BCDAEBCADE", 6, []
"ABCBDEACDE", 8, []
"ABCDEBCDEA", 5, []
"ABCDBCDEEA", 9, []
"BACBCDEADE", 9, []
"BCADBECDEA", 10, []
"BACDBCEDEA", 8, []
"BABCDEACDE", 7, []
"BCADEBACDE", 5, []
"ABCBDCEDAE", 10, []
"ABCDBEACDE", 5, []
"BACDBEACDE", 9, []
"BCDABCDEAE", 7, []
"BACBDCDEAE", 7, []
"BCDABCEADE", 7, []
"ABCBDECDAE", 7, []
"BCABDCEDAE", 10, []
"ABBCDAAE", 6, [ 'C' 'D' 'E' ]
"ABBACDAE", 5, [ 'C' 'D' 'E' ]
"ABBCADAE", 5, [ 'C' 'D' 'E' ]
"ABBCAADE", 6, [ 'C' 'D' 'E' ]
"BABCADAE", 5, [ 'C' 'D' 'E' ]
"ABCDBAAE", 7, [ 'C' 'D' 'E' ]
"XYYBYXB", 7, []
"XBYYXYB", 3, []
"XBYYYXB", 4, []
"YYYXBXB", 4, []
"XBXBYYY", 6, []
"YBXYBBXB", 8, []
"CDBCDEEABA", 7, []
"CBDECDAEAB", 7, []
"BCDECABDEA", 5, []
"BCDECDEABA", 6, []
"CBDEACDEBA", 8, []
"BCDEABCDEA", 5, []
"BCDECDAEAB", 5, []
"BCDCEDAEBA", 7, []
"CDBCEADBEA", 9, []
"CDBCDEEAAB", 9, []
"CBDECADEBA", 10, []
"CDEBCABDEA", 5, []
"CDBECDEAAB", 5, []
"CDBCDEABEA", 7, []
"CBCDEDEABA", 9, []
"CDBCEDEAAB", 5, []
"CDEBACDBEA", 6, []
"CDEBABCDEA", 7, []
"CDEBCDAEAB", 10, []
"CBDECDEABA", 5, []
"BCDCEADEBA", 6, []
"CDEBACDEAB", 6, []
"BCCDEDEABA", 10, []
"CBDACDAB", 6, []
"CDBACDBA", 6, []
"CDABCDAB", 8, []
"CDBCADAB", 7, []
"BCCDABDA", 4, []
"CBDCABDA", 4, []
"BCDCDAAB", 4, []
"CDBCDAAB", 5, []
"CBCDABDA", 8, []
"DAABCDBC", 6, []
"ABCDADBC", 7, []
"DAABBCDC", 7, []
"EADBCDEABC", 5, []
"EDABEACBCD", 5, []
"EADEBCADBC", 5, []
"EADEBACBCD", 5, []
"DEEABACBCD", 6, []
"DEABCEDABC", 10, []
"EDAEBABCCD", 8, []
"DEEAABCBDC", 7, []
"EABDCEADBC", 5, []
"EADBECABCD", 6, []
"EDAEBABCDC", 9, []
"EDEABCABCD", 8, []
"EDAEABBCDC", 6, []
"EDAEABBCCD", 8, []
"DEAEBACBCD", 6, []
"EABDEACBCD", 5, []
"EDEABABCDC", 7, []
"DEEABCADBC", 7, []
"BCADBECDEA", 8, []
"ABCBDCEDAE", 9, []
"BCABDCDEEA", 9, []
"BACDBCEDAE", 7, []
"BCADBCEADE", 10, []
"ABBCCDDEAE", 5, []
"BCDAEABCDE", 7, []
"ABBCCDEDAE", 5, []
"BCADEABCDE", 6, []
"BCDAEBACDE", 6, []
"BABCCDEADE", 8, []
"BACDEBCDEA", 10, []
"ABCDEBCADE", 8, []
"ABCBCDEDAE", 5, []
"BCABDCEADE", 8, []
"ABBCCDDEEA", 10, []
"BACDBECDAE", 8, []
"BACBDCDEEA", 8, []
"BCDAEBCDAE", 7, []
"BACDBECDEA", 6, []
"ABCBCDEADE", 10, []
"BACDEBCADE", 10, []
"ABCBDCEADE", 7, []
"ABCDBAEA", 5, [ 'C' 'D' 'E' ]
"BABCDAAE", 8, [ 'C' 'D' 'E' ]
"BAAABCDE", 7, [ 'C' 'D' 'E' ]
"ABBCDEAA", 6, [ 'C' 'D' 'E' ]
"YYXBYXB", 3, []
"XBYXYBY", 5, []
"XYYBXYB", 6, []
"YXYBXBY", 4, []
"YXBYYXB", 3, []
"XYYBXBY", 6, []
"XYBBYXBB", 5, []
"YXBBXBYB", 7, []
"YBYXBBXB", 7, []
"XBYBYBXB", 4, []
"XBXYBYBB", 4, []
"YXBBYBXB", 3, []
"YBXBYXBB", 3, []
"YBYBXBXB", 6, []
"YBXBXBYB", 3, []
"YXBXBBYB", 3, []
"YXBBYXBB", 4, []
"ABCD", 4, [ 'A' 'B' 'C' 'D' ]
"DEABC", 5, [ 'D' 'E' 'A' 'B' 'C' ]
"BCDEA", 5, [ 'B' 'C' 'D' 'E' 'A' ]
"ABCDE", 5, [ 'A' 'B' 'C' 'D' 'E' ]
"CDEAB", 5, [ 'C' 'D' 'E' 'A' 'B' ]
"BCDA", 4, [ 'B' 'C' 'D' 'A' ]
"CDAB", 4, [ 'C' 'D' 'A' 'B' ]
"XYZ", 3, [ 'X' 'Y' 'Z' ]
